date,latitude,longitude,magnitude,depth_km,location,alert,tsunami
2020-01-01 13:37:00,36.5417,-121.0916,8.0,30.2,Amerika Serikat - California,green,1
2020-01-14 10:17:00,39.5871,141.9067,6.3,7.2,Jepang - Honshu,green,0
2020-01-28 01:34:00,38.9543,38.1771,7.1,15.0,Turki - Anatolia Timur,green,0
2020-01-28 22:13:00,-5.2822,150.0697,6.6,10.8,Papua Nugini - New Britain,,0
2020-01-29 04:37:00,-5.0145,150.3935,4.3,6.3,Papua Nugini - New Britain,green,0
2020-02-03 07:38:00,34.5122,24.1651,5.0,56.6,Yunani - Kreta,green,0
2020-02-03 14:07:00,31.7148,49.9904,8.8,30.8,Iran - Zagros,,1
2020-02-06 21:03:00,14.2127,122.4237,6.1,7.9,Filipina - Luzon,yellow,0
2020-02-09 12:44:00,-7.0088,152.089,6.6,43.4,Papua Nugini - New Britain,green,0
2020-02-11 03:40:00,33.6592,141.8236,8.8,30.2,Jepang - Honshu,green,1
2020-02-16 21:46:00,-6.2456,109.5504,5.0,3.9,Indonesia - Jawa,green,0
2020-02-20 13:39:00,28.972,85.8776,8.8,2.9,Nepal - Kathmandu,orange,0
2020-04-07 17:29:00,34.2869,131.5534,5.7,17.3,Jepang - Kyushu,green,0
2020-04-08 17:45:00,35.9594,140.7715,8.6,4.3,Jepang - Honshu,green,1
2020-04-11 10:34:00,34.4134,48.9836,4.8,,Iran - Zagros,green,0
2020-05-24 00:46:00,-32.337,-71.1453,8.2,34.5,Chile - Valparaiso,green,1
2020-05-24 12:19:00,-33.2243,-71.5573,4.7,,Chile - Valparaiso,green,0
2020-05-29 21:48:00,-31.6373,-72.9402,8.8,160.3,Chile - Valparaiso,yellow,0
2020-05-30 12:51:00,38.0996,140.9158,8.8,44.0,Jepang - Honshu,green,0
2020-05-30 20:18:00,34.8502,25.8117,5.9,3.6,Yunani - Kreta,yellow,0
2020-06-02 15:50:00,-32.0019,-72.4451,8.8,2.0,Chile - Valparaiso,green,0
2020-07-12 14:10:00,16.7088,-95.9106,6.5,68.8,Meksiko - Oaxaca,green,0
2020-07-16 21:10:00,-31.6286,-70.5977,8.4,40.0,Chile - Valparaiso,yellow,0
2020-07-20 03:13:00,31.2307,49.4462,6.7,23.9,Iran - Zagros,green,0
2020-07-26 07:59:00,15.147,120.1971,6.7,79.9,Filipina - Luzon,yellow,0
2020-07-28 17:13:00,38.2884,139.2682,6.8,38.8,Jepang - Honshu,orange,0
2020-08-13 06:51:00,30.0606,82.802,8.8,25.2,Nepal - Kathmandu,green,1
2020-08-13 08:48:00,-5.7568,152.4005,8.8,10.5,Papua Nugini - New Britain,yellow,0
2020-08-29 00:01:00,34.6876,-117.1176,6.5,32.8,Amerika Serikat - California,yellow,0
2020-09-22 06:19:00,-8.1207,111.6912,8.8,165.6,Indonesia - Jawa,green,0
2020-10-11 10:21:00,17.2538,-98.4331,7.1,14.9,Meksiko - Oaxaca,green,1
2020-10-19 15:00:00,-3.9354,126.2664,5.9,50.3,Indonesia - Maluku,green,0
2020-12-10 13:03:00,-33.062,-71.2641,6.9,4.8,Chile - Valparaiso,green,0
2020-12-14 11:52:00,32.2247,130.3096,4.5,1.0,Jepang - Kyushu,green,0
2020-12-21 05:59:00,15.7346,-97.569,5.6,106.4,Meksiko - Oaxaca,yellow,0
2020-12-23 11:23:00,31.4233,132.331,7.4,2.4,Jepang - Kyushu,green,0
2021-01-08 00:17:00,29.0156,84.1705,8.8,21.2,Nepal - Kathmandu,green,0
2021-01-14 12:40:00,34.0891,23.2,8.4,13.2,Yunani - Kreta,green,1
2021-01-22 13:49:00,38.359,39.1467,5.5,2.7,Turki - Anatolia Timur,green,0
2021-01-24 17:50:00,-1.2744,98.5793,4.1,3.2,Indonesia - Sumatra,green,0
2021-01-27 14:14:00,-3.9925,128.9337,8.8,27.2,Indonesia - Maluku,green,1
2021-01-29 12:16:00,35.9403,-119.8463,5.3,63.9,Amerika Serikat - California,green,1
2021-01-30 12:39:00,35.8934,138.3655,8.8,117.7,Jepang - Honshu,green,0
2021-03-18 07:53:00,-0.9457,101.6228,8.8,10.0,Indonesia - Sumatra,green,1
2021-03-20 21:14:00,-5.0735,129.9381,5.6,20.7,Indonesia - Maluku,green,0
2021-04-15 22:11:00,-4.3912,150.7781,5.5,19.1,Papua Nugini - New Britain,green,0
2021-04-17 17:22:00,35.7252,141.0683,4.9,5.9,Jepang - Honshu,green,0
2021-04-20 07:40:00,36.9321,24.7372,6.5,2.3,Yunani - Kreta,green,0
2021-05-05 15:03:00,-4.9666,129.3556,6.0,77.4,Indonesia - Maluku,green,0
2021-05-08 03:37:00,38.8856,39.5063,8.8,20.7,Turki - Anatolia Timur,orange,1
2021-05-25 00:20:00,31.7611,132.2234,7.1,1.5,Jepang - Kyushu,yellow,1
2021-06-30 16:16:00,35.7813,130.6125,4.2,13.2,Jepang - Kyushu,green,0
2021-08-14 09:28:00,14.5579,-95.1448,5.1,23.3,Meksiko - Oaxaca,yellow,0
2021-08-23 12:41:00,32.9238,129.8115,5.3,95.4,Jepang - Kyushu,yellow,0
2021-09-11 19:49:00,33.1046,127.9153,8.2,79.9,Jepang - Kyushu,green,0
2021-10-22 16:22:00,-41.3893,175.5448,6.9,52.7,Selandia Baru - Wellington,green,0
2021-10-25 14:58:00,15.4661,-98.5719,8.8,12.6,Meksiko - Oaxaca,green,1
2021-11-15 07:28:00,-3.7017,153.8423,5.7,25.4,Papua Nugini - New Britain,green,0
2021-12-26 02:00:00,36.6902,40.3196,6.2,52.3,Turki - Anatolia Timur,orange,0
2022-01-01 11:19:00,39.0129,24.9899,7.7,39.6,Yunani - Kreta,green,1
2022-01-18 14:42:00,-3.3955,128.1412,6.7,11.5,Indonesia - Maluku,orange,0
