student_id,age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality
S1000,23,Female,0.0,1.2,1.1,No,85.0,8.0,Fair
S1001,20,Female,6.9,2.8,2.3,No,97.3,4.6,Good
S1002,21,Male,1.4,3.1,1.3,No,94.8,8.0,Poor
S1003,23,Female,1.0,3.9,1.0,No,71.0,9.2,Poor
S1004,19,Female,5.0,4.4,0.5,No,90.9,4.9,Fair
S1005,24,Male,7.2,1.3,0.0,No,82.9,7.4,Fair
S1006,21,Female,5.6,1.5,1.4,Yes,85.8,6.5,Good
S1007,21,Female,4.3,1.0,2.0,Yes,77.7,4.6,Fair
S1008,23,Female,4.4,2.2,1.7,No,100.0,7.1,Good
S1009,18,Female,4.8,3.1,1.3,No,95.4,7.5,Good
S1010,19,Female,4.6,3.7,0.8,No,77.6,5.8,Fair
S1011,23,Male,3.9,2.4,2.5,No,71.7,7.9,Fair
S1012,19,Female,3.7,2.1,0.4,Yes,81.1,4.5,Fair
S1013,19,Female,3.4,2.7,2.7,No,89.3,4.7,Fair
S1014,24,Male,2.4,1.5,0.7,No,87.4,6.7,Poor
S1015,21,Male,3.1,5.0,1.0,No,97.5,6.5,Good
S1016,20,Male,1.0,0.6,0.2,No,92.9,5.6,Poor
S1017,24,Female,3.4,2.7,1.2,No,94.7,7.5,Poor
S1018,24,Other,2.0,4.9,2.9,Yes,88.3,7.1,Good
S1019,19,Male,1.8,2.5,2.4,No,71.1,7.5,Fair
S1020,22,Female,3.8,2.3,2.9,No,83.0,6.4,Good
S1021,21,Male,5.6,2.1,2.4,No,95.6,7.2,Fair
S1022,18,Other,4.9,2.3,0.6,No,84.5,6.0,Fair
S1023,24,Female,1.1,4.1,1.4,Yes,90.0,9.0,Fair
S1024,20,Female,2.0,0.0,0.9,Yes,81.8,5.5,Fair
S1025,22,Male,4.9,4.3,3.3,No,74.7,9.0,Fair
S1026,22,Male,2.0,0.8,0.5,No,83.8,6.5,Good
S1027,18,Male,3.2,2.2,2.8,Yes,88.1,4.8,Fair
S1028,24,Male,4.3,2.0,2.8,Yes,78.4,8.1,Good
S1029,20,Female,2.0,3.2,3.8,Yes,82.6,6.7,Poor
S1030,21,Female,3.7,0.6,1.3,No,75.6,7.5,Fair
S1031,17,Other,1.5,3.1,2.6,Yes,96.2,8.0,Fair
S1032,20,Other,2.6,4.9,4.3,No,82.1,6.9,Good
S1033,18,Female,4.0,0.9,1.1,No,99.5,5.8,Poor
S1034,22,Female,1.1,2.7,0.1,No,100.0,7.7,Fair
S1035,21,Female,4.2,1.7,0.0,Yes,84.2,6.5,Good
S1036,20,Female,3.5,3.0,2.6,No,74.9,7.3,Fair
S1037,17,Male,4.3,2.5,0.0,Yes,64.1,3.9,Good
S1038,17,Male,3.8,1.7,1.4,No,70.3,7.0,Poor
S1039,19,Male,5.5,3.1,2.3,No,71.3,5.7,Good
S1040,19,Female,3.7,4.7,2.0,No,98.8,8.5,Good
S1041,23,Female,2.9,2.3,2.3,No,86.2,7.2,Good
S1042,18,Male,3.7,3.4,2.0,No,88.9,6.8,Fair
S1043,24,Female,4.3,0.9,3.2,No,62.8,7.1,Poor
S1044,20,Female,3.6,1.4,0.8,No,73.0,5.3,Good
S1045,20,Male,3.6,3.1,1.1,No,93.9,8.4,Fair
S1046,24,Male,2.4,4.3,1.0,No,87.9,8.9,Poor
S1047,23,Female,2.5,2.9,2.7,No,83.5,7.0,Good
S1048,22,Female,1.4,2.1,2.8,No,90.6,8.4,Fair
S1049,22,Female,6.1,2.5,2.3,No,100.0,5.8,Poor
S1050,23,Female,1.6,1.0,3.1,No,82.8,5.5,Fair
S1051,22,Female,2.5,3.2,0.5,No,85.7,6.5,Poor
S1052,19,Female,2.4,3.6,3.6,No,86.9,7.0,Fair
S1053,20,Female,4.8,2.0,3.5,No,100.0,6.0,Good
S1054,23,Female,3.1,1.9,2.6,Yes,64.0,7.1,Fair
S1055,20,Male,5.4,2.8,3.8,No,91.8,6.9,Good
S1056,24,Male,2.5,2.0,0.0,No,83.9,5.3,Good
S1057,17,Male,3.9,2.4,1.2,No,90.7,7.1,Good
S1058,19,Female,2.2,5.0,1.0,No,78.4,7.5,Poor
S1059,21,Female,6.7,2.2,2.6,No,84.5,6.7,Good
S1060,19,Female,1.7,2.1,0.6,Yes,92.1,7.9,Fair
S1061,23,Male,4.0,1.7,2.6,No,100.0,5.0,Fair
S1062,21,Male,4.5,3.4,3.3,Yes,93.1,7.1,Good
S1063,17,Male,4.1,2.3,2.6,Yes,76.5,5.1,Fair
S1064,23,Male,3.2,1.7,2.1,No,80.8,5.2,Good
S1065,18,Female,3.3,4.1,0.7,No,80.5,5.7,Poor
S1066,20,Male,3.6,4.2,0.9,No,67.0,5.4,Good
S1067,17,Male,3.3,1.8,3.2,No,81.7,5.8,Poor
S1068,20,Female,4.9,0.3,2.7,Yes,92.3,6.2,Good
S1069,22,Male,6.8,3.7,1.8,No,72.3,7.5,Poor
S1070,18,Female,2.7,1.7,1.3,No,95.5,6.1,Poor
S1071,18,Female,1.4,3.4,0.0,No,89.9,4.6,Fair
S1072,17,Male,3.4,0.1,0.6,No,77.7,7.9,Fair
S1073,18,Female,7.4,3.6,3.9,No,83.6,5.5,Fair
S1074,21,Female,2.3,1.0,0.4,No,100.0,6.4,Fair
S1075,18,Female,6.0,3.4,2.0,Yes,92.3,7.0,Fair
S1076,20,Male,6.0,2.5,2.9,No,85.1,6.7,Poor
S1077,20,Female,2.7,1.4,0.4,No,82.6,7.8,Fair
S1078,23,Female,4.4,2.0,2.0,Yes,85.8,7.1,Good
S1079,20,Male,5.9,3.3,2.8,Yes,79.9,5.5,Good
S1080,23,Male,2.9,2.6,1.8,No,64.0,9.1,Good
S1081,20,Other,3.2,3.2,5.0,No,100.0,6.7,Good
S1082,21,Female,2.6,4.9,0.0,Yes,86.6,6.3,Fair
S1083,24,Male,2.0,0.6,3.0,No,89.0,7.7,Poor
S1084,23,Female,2.5,4.4,1.6,No,84.4,6.8,Fair
S1085,19,Male,1.7,2.6,2.6,No,77.6,7.0,Good
S1086,22,Male,3.6,1.4,2.3,No,83.1,9.5,Good
S1087,17,Male,2.3,0.9,1.0,No,69.0,6.2,Fair
S1088,20,Male,3.9,2.3,2.1,No,100.0,6.1,Poor
S1089,18,Male,1.2,3.6,0.0,No,72.7,6.6,Poor
S1090,24,Male,4.0,2.3,2.5,No,74.7,7.8,Fair
S1091,20,Female,4.8,4.3,2.1,No,80.6,4.7,Fair
S1092,18,Male,0.5,0.8,2.5,Yes,97.9,4.1,Poor
S1093,22,Male,4.1,2.5,3.0,No,85.1,5.8,Good
S1094,22,Female,5.3,1.0,2.2,No,72.6,4.5,Fair
S1095,22,Male,1.7,2.9,2.0,No,97.5,6.0,Good
S1096,18,Female,6.0,3.6,0.8,No,92.3,7.1,Good
S1097,20,Male,4.1,2.0,1.0,No,90.4,5.4,Good
S1098,22,Male,2.4,0.0,3.1,No,92.2,4.8,Good
S1099,21,Male,3.4,2.7,3.4,No,100.0,6.6,Good
S1100,23,Male,4.3,3.0,1.5,No,100.0,7.5,Good
S1101,18,Male,3.6,3.0,1.9,No,78.1,4.5,Good
S1102,18,Male,4.3,4.0,0.8,No,100.0,7.5,Fair
S1103,20,Male,2.1,1.2,3.1,No,88.8,7.5,Good
S1104,18,Male,3.8,3.3,2.5,No,90.0,7.6,Good
S1105,18,Male,1.4,3.9,3.9,Yes,68.1,8.0,Good
S1106,22,Male,3.3,0.4,0.8,No,83.3,9.1,Good
